time(s),position(m),velocity(m/s),acceleration(m/s^2)
2.66,-0.240482,-0.279584,3.16536
2.67,-0.243119,-0.247928,3.16536
2.68,-0.24544,-0.21629,3.16157
2.69,-0.247445,-0.184709,3.15405
2.7,-0.249135,-0.153221,3.14284
2.71,-0.25051,-0.121864,3.12798
2.72,-0.251572,-0.0906736,3.10954
2.73,-0.252324,-0.0596851,3.08757
2.74,-0.252767,-0.0289336,3.06214
2.75,-0.252904,0.00154635,3.0333
2.76,-0.252737,0.0317212,3.00112
2.77,-0.25227,0.0615579,2.96569
2.78,-0.251507,0.0910243,2.92706
2.79,-0.250451,0.120089,2.88533
2.8,-0.249107,0.148721,2.84056
2.81,-0.247478,0.17689,2.79285
2.82,-0.245571,0.204568,2.74228
2.83,-0.243389,0.231727,2.68894
2.84,-0.240938,0.258338,2.63292
2.85,-0.238224,0.284376,2.57431
2.86,-0.235252,0.309816,2.51321
2.87,-0.23203,0.334633,2.44972
2.88,-0.228562,0.358803,2.38394
2.89,-0.224856,0.382304,2.31597
2.9,-0.220918,0.405115,2.2459
2.91,-0.216756,0.427215,2.17385
2.92,-0.212376,0.448586,2.09993
2.93,-0.207787,0.469208,2.02423
2.94,-0.202995,0.489065,1.94687
2.95,-0.198008,0.50814,1.86795
2.96,-0.192834,0.526419,1.78759
2.97,-0.187482,0.543888,1.7059
2.98,-0.181959,0.560533,1.62298
2.99,-0.176274,0.576344,1.53895
3,-0.170435,0.591309,1.45392
3.01,-0.164451,0.605419,1.36799
3.02,-0.15833,0.618666,1.28129
3.03,-0.152081,0.631043,1.19392
3.04,-0.145712,0.642543,1.106
3.05,-0.139233,0.653161,1.01763
3.06,-0.132652,0.662894,0.928926
3.07,-0.125978,0.671739,0.839995
3.08,-0.11922,0.679694,0.750945
3.09,-0.112387,0.686758,0.661885
3.1,-0.105488,0.692932,0.572921
3.11,-0.0985312,0.698217,0.484158
3.12,-0.0915263,0.702616,0.3957
3.13,-0.0844818,0.706132,0.30765
3.14,-0.0774066,0.708771,0.220109
3.15,-0.0703093,0.710537,0.133176
3.16,-0.0631988,0.711436,0.0469485
3.17,-0.0560835,0.711478,-0.0384765
